repoKey,repoType,foldersCount,filesCount,usedSpace,usedSpaceInBytes,itemsCount,packageType,projectKey,percentage
dret-npm-external-cache,CACHE,0,0,0 bytes,0,0,npm,dret,0%
pos2-binary-quarantine-local,LOCAL,0,7,255.09 MB,267476544,7,Generic,pos2,0%
rfm2-helm-prod-local,LOCAL,0,1,66 bytes,66,1,Helm,rfm2,0%
oalt-docker-dev-virtual,VIRTUAL,0,0,0 bytes,0,0,Docker,oalt,0%
sand-docket-test-local,LOCAL,0,0,0 bytes,0,0,Docker,sand,0%
prd1-docker-dev-local,LOCAL,3,5,11.19 MB,11733463,8,Docker,prd1,0%
rrim-maven-dev-local,LOCAL,14,27,407.32 MB,427104851,41,Maven,rrim,0%
rcc1-maven-prod-virtual,VIRTUAL,0,0,0 bytes,0,0,Maven,rcc1,0%
pos2-nuget,VIRTUAL,0,0,0 bytes,0,0,NuGet,pos2,0%
sand-npm-dev-local,LOCAL,0,0,0 bytes,0,0,npm,sand,0%
medp-docker-federation-dev,FEDERATED,0,0,0 bytes,0,0,Docker,medp,0%
